Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,DELEGAÇÃO MARITIMA (ALPENDRE),0818601 .,800,339,12,169,520,15,14,549,251
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,DELEGAÇÃO MARITIMA (ALPENDRE),0818602 .,800,277,11,180,468,6,19,493,307
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,DELEGAÇÃO MARITIMA (ALPENDRE),0818603 .,800,248,11,164,423,18,16,457,343
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,DELEGAÇÃO MARITIMA (ALPENDRE),0818604 .,800,268,14,153,435,16,12,463,337
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,DELEGAÇÃO MARITIMA (ALPENDRE),0818605 .,742,215,15,115,345,9,7,361,381
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º GRAU 16 DE JUNHO ,0815401 .,800,278,19,124,421,15,14,450,350
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º GRAU 16 DE JUNHO ,0815402 .,785,231,16,113,360,5,6,371,414
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE AEROPORTO,0818001 .,800,315,15,148,478,26,16,520,280
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE AEROPORTO,0818002 .,800,293,18,120,431,22,15,468,332
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE AEROPORTO,0818003 .,800,270,18,133,421,9,12,442,358
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE AEROPORTO,0818004 .,800,264,17,123,404,14,5,423,377
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE AEROPORTO,0818005 .,800,293,12,118,423,5,17,445,355
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE AEROPORTO,0818006 .,800,233,10,125,368,5,6,379,421
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE AEROPORTO,0818007 .,597,165,12,90,267,7,3,277,320
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE CAXANE ,0817001 .,800,350,20,64,434,26,41,501,299
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE CAXANE ,0817002 .,800,314,15,44,373,20,13,406,394
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE CAXANE ,0817003 .,358,91,7,29,127,4,5,136,222
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE GAMELA,0816801 .,800,338,29,121,488,11,18,517,283
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE GAMELA,0816802 .,800,311,18,144,473,7,14,494,306
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE GAMELA,0816803 .,800,291,13,135,439,10,8,457,343
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE GAMELA,0816804 .,800,331,16,138,485,6,9,500,300
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE GAMELA,0816805 .,800,293,19,129,441,12,8,461,339
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE GAMELA,0816806A .,400,121,9,51,181,0,2,183,217
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE GAMELA,0816806B .,591,178,14,92,284,3,6,293,298
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE MAHAQUE,0809501 .,800,334,21,127,482,19,15,516,284
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE MAHAQUE,0809502 .,800,315,11,117,443,13,18,474,326
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE MAHAQUE,0809503 .,597,198,12,85,295,5,14,314,283
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE VILANCULO SEDE,0802701 .,800,366,21,130,517,6,14,537,263
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE VILANCULO SEDE,0802702 .,800,360,12,152,524,4,12,540,260
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE VILANCULO SEDE,0802703 .,800,355,16,142,513,1,10,524,276
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE VILANCULO SEDE,0802704 .,800,353,13,125,491,3,12,506,294
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE VILANCULO SEDE,0802705 .,800,367,15,133,515,10,8,533,267
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE VILANCULO SEDE,0802706 .,800,340,16,155,511,3,5,519,281
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,EP 1º-2º GRAUS DE VILANCULO SEDE,0802707 .,698,235,12,118,365,6,5,376,322
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,ESC. SEC. DE MUCOQUE(BAIRRO CENTRAL),0816901 .,800,408,28,123,559,5,21,585,215
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,ESC. SEC. DE MUCOQUE(BAIRRO CENTRAL),0816902 .,800,370,28,125,523,7,11,541,259
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,ESC. SEC. DE MUCOQUE(BAIRRO CENTRAL),0816903 .,800,356,27,111,494,5,5,504,296
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,ESC. SEC. DE MUCOQUE(BAIRRO CENTRAL),0816904 .,457,149,19,73,241,3,6,250,207
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,SALA ANEXA DA ESC. SEC. DE V`KULO*,0815403A .,400,149,15,60,224,1,1,226,174
INHAMBANE,VILANKULO,AUTARQUIA DA VILA DE VILANKULO,AUTARQUIA,SALA ANEXA DA ESC. SEC. DE V`KULO*,0815403B .,557,155,25,55,235,3,4,242,315
