Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,JPC,CAD,E-POVO,UE,PPPM,PVM,PASOMO,SCM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO " A",ESCOLA PRIMÁRIA RUA 4,1113401 .,800,305,34,189,2,1,0,1,0,0,0,0,0,532,3,11,546,254
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO " A",ESCOLA PRIMÁRIA RUA 4,1113402 .,800,265,27,208,6,3,1,1,0,0,1,0,1,513,2,6,521,279
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO " A",ESCOLA PRIMÁRIA RUA 4,1113403 .,528,150,19,142,1,0,0,0,0,0,0,0,0,312,3,6,321,207
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO " A",ESCOLA PRIMÁRIA RUA 7,1113301 .,800,294,23,201,1,0,0,0,0,0,0,1,0,520,9,8,537,263
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO " A",ESCOLA PRIMÁRIA RUA 7,1113302 .,800,252,26,207,4,0,0,0,0,1,0,1,0,491,4,14,509,291
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO " A",ESCOLA PRIMÁRIA RUA 7,1113303 .,679,204,20,173,3,0,0,1,0,0,0,0,0,401,5,10,416,263
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO " A",ESCOLA SEC. ZEDEQUIAS MANGANHELA,11135-01 .,800,270,19,194,1,0,1,0,0,0,1,0,0,486,3,9,498,302
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO " A",ESCOLA SEC. ZEDEQUIAS MANGANHELA,11135-02 .,800,247,24,213,2,1,0,0,0,0,0,1,0,488,7,14,509,291
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO " A",ESCOLA SEC. ZEDEQUIAS MANGANHELA,11135-03 .,800,268,37,186,5,0,0,1,0,0,0,1,0,498,3,6,507,293
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO " A",ESCOLA SEC. ZEDEQUIAS MANGANHELA,11135-04 .,800,263,28,180,3,0,0,1,0,0,0,3,0,478,7,16,501,299
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO " A",ESCOLA SEC. ZEDEQUIAS MANGANHELA,11135-05 .,696,212,34,160,5,0,0,0,1,0,1,3,1,417,0,4,421,275
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",COOPERATIVA NGUNGUNHANE - RELENTO,1113701 .,800,321,17,182,2,0,1,0,0,0,0,3,2,528,6,7,541,259
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",COOPERATIVA NGUNGUNHANE - RELENTO,1113702 .,800,260,30,180,3,1,0,1,1,1,0,3,0,480,2,8,490,310
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",COOPERATIVA NGUNGUNHANE - RELENTO,1113703 .,800,262,29,175,0,0,0,0,0,2,0,3,1,472,3,11,486,314
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",COOPERATIVA NGUNGUNHANE - RELENTO,1113704 .,783,260,32,150,2,0,0,1,0,2,1,0,0,448,5,5,458,325
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",ESCOLA PRIMÁRIA UNIDADE 30,11136-01 .,800,349,25,161,0,1,0,1,0,0,1,1,0,539,4,18,561,239
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",ESCOLA PRIMÁRIA UNIDADE 30,11136-02 .,800,291,19,161,3,2,0,0,0,2,0,0,0,478,4,8,490,310
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",ESCOLA PRIMÁRIA UNIDADE 30,11136-03 .,800,276,29,184,1,1,0,1,1,0,1,0,0,494,2,13,509,291
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",ESCOLA PRIMÁRIA UNIDADE 30,11136-04 .,800,276,25,189,7,0,0,0,0,2,1,0,1,501,4,10,515,285
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",ESCOLA PRIMÁRIA UNIDADE 30,11136-05 .,489,170,12,100,0,0,0,0,0,0,0,2,1,285,1,3,289,200
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",QUARTEIRÃO 17-  DAYMANE  - RELENTO,1113801 .,800,321,23,175,1,0,0,1,0,0,0,0,0,521,17,29,567,233
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",QUARTEIRÃO 17-  DAYMANE  - RELENTO,1113802 .,800,322,18,165,1,0,0,1,0,0,0,4,0,511,3,8,522,278
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",QUARTEIRÃO 17-  DAYMANE  - RELENTO,1113803 .,800,267,17,147,1,0,0,0,0,0,2,3,0,437,10,12,459,341
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",QUARTEIRÃO 17-  DAYMANE  - RELENTO,1113804 .,800,254,27,156,2,0,0,1,0,2,1,0,0,443,3,13,459,341
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,25 DE JUNHO "B",QUARTEIRÃO 17-  DAYMANE  - RELENTO,1113805 .,586,195,24,102,2,0,0,1,0,0,1,2,0,327,7,11,345,241
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA PRIMÁRIA DE BAGAMOYO,1113901 .,800,361,21,136,1,1,2,2,0,5,0,5,1,535,4,16,555,245
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA PRIMÁRIA DE BAGAMOYO,1113902 .,800,419,30,162,3,2,0,0,0,0,2,3,0,621,1,12,634,166
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA PRIMÁRIA DE BAGAMOYO,1113903 .,800,321,27,148,1,0,0,0,1,0,0,3,0,501,4,15,520,280
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA PRIMÁRIA DE BAGAMOYO,1113904 .,800,272,21,162,2,3,1,0,0,1,0,3,0,465,3,9,477,323
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA PRIMÁRIA DE BAGAMOYO,1113905A .,400,154,7,91,1,0,0,0,0,0,0,1,1,255,2,3,260,140
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA PRIMÁRIA DE BAGAMOYO,1113905B .,679,233,22,130,0,1,0,0,0,0,0,3,0,389,3,5,397,282
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA PRIMÁRIA INFULENE BENFICA,1114101 .,800,292,19,189,3,0,0,0,0,0,1,1,1,506,4,16,526,274
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA PRIMÁRIA INFULENE BENFICA,1114102 .,800,270,26,205,0,0,0,1,0,0,1,2,0,505,6,10,521,279
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA PRIMÁRIA INFULENE BENFICA,1114103A .,400,134,20,85,0,0,0,0,0,0,0,1,0,240,3,2,245,155
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA PRIMÁRIA INFULENE BENFICA,1114103B .,507,147,16,128,0,1,0,0,0,0,1,2,0,295,2,11,308,199
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA SECUNDÁRIA DE BAGAMOYO,1114001 .,800,322,29,131,0,0,0,0,2,0,0,2,1,487,7,19,513,287
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA SECUNDÁRIA DE BAGAMOYO,1114002 .,800,266,24,173,1,2,0,0,1,1,2,0,0,470,6,9,485,315
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA SECUNDÁRIA DE BAGAMOYO,1114003 .,800,289,18,172,1,0,1,0,0,0,3,2,0,486,4,9,499,301
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA SECUNDÁRIA DE BAGAMOYO,1114004 .,800,284,25,165,1,0,0,0,0,0,0,0,0,475,6,12,493,307
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA SECUNDÁRIA DE BAGAMOYO,1114005 .,800,257,28,167,3,0,0,0,0,0,0,0,0,455,3,4,462,338
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA SECUNDÁRIA DE BAGAMOYO,1114005B .,543,146,23,116,1,0,0,1,0,0,2,2,0,291,3,6,300,243
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,BAGAMOYO,ESCOLA SECUNDÁRIA DE BAGAMOYO,1114006A .,400,124,22,88,0,0,1,0,0,0,1,1,0,237,3,6,246,154
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,CRDS,1114401 .,800,234,18,212,0,0,1,0,0,0,0,0,0,465,9,18,492,308
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,CRDS,1114402 .,800,228,19,197,0,1,0,0,0,0,2,0,0,447,8,15,470,330
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,CRDS,1114403 .,800,245,19,196,0,0,0,0,1,2,0,1,0,464,3,10,477,323
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,CRDS,1114404A .,400,127,6,94,1,0,0,0,0,0,1,1,0,230,5,3,238,162
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,CRDS,1114404B .,571,166,13,153,0,0,0,0,0,0,0,0,0,332,2,7,341,230
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA COMUNIT. 19 OUTUBRO (4 SALINHAS),1114601 .,800,280,32,186,0,0,0,0,1,1,0,3,0,503,3,15,521,279
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA COMUNIT. 19 OUTUBRO (4 SALINHAS),1114602 .,800,261,24,207,3,1,2,1,0,0,1,0,0,500,2,14,516,284
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA COMUNIT. 19 OUTUBRO (4 SALINHAS),1114603 .,800,266,19,166,1,0,0,3,0,1,0,1,1,458,2,8,468,332
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA COMUNIT. 19 OUTUBRO (4 SALINHAS),1114604 .,800,267,19,153,0,0,0,0,0,0,1,1,1,442,2,16,460,340
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA COMUNIT. 19 OUTUBRO (4 SALINHAS),1114605 .,747,236,27,133,2,1,0,0,0,0,0,1,0,400,5,3,408,339
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA 1 DE JUNHO,1114301 .,800,325,28,159,1,0,0,2,0,0,1,0,0,516,4,6,526,274
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA 1 DE JUNHO,1114302 .,800,305,14,159,2,0,0,0,0,0,1,0,0,481,4,11,496,304
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA 1 DE JUNHO,1114303 .,800,276,19,184,0,0,0,0,0,0,2,3,1,485,2,13,500,300
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA 1 DE JUNHO,1114304 .,800,295,24,163,2,0,1,2,0,0,0,2,1,490,1,8,499,301
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA 1 DE JUNHO,1114305 .,800,275,28,174,0,0,0,0,0,0,0,3,0,480,2,6,488,312
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA 1 DE JUNHO,1114306 .,800,244,28,158,1,1,0,0,0,0,2,1,0,435,7,11,453,347
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA 1 DE JUNHO,1114307 .,563,164,22,102,2,0,0,0,0,0,0,1,0,291,3,3,297,266
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA MUBUKWANA,1114501 .,800,292,32,173,3,3,0,2,1,0,0,1,0,507,12,6,525,275
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA MUBUKWANA,1114502 .,800,282,37,176,0,2,1,1,0,0,0,1,0,500,8,12,520,280
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA MUBUKWANA,1114503 .,800,247,49,184,2,0,0,0,0,1,0,0,0,483,3,13,499,301
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA MUBUKWANA,1114504 .,800,272,45,155,0,0,0,0,0,0,0,1,0,473,10,12,495,305
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA MUBUKWANA,1114505 .,800,252,36,162,0,1,0,0,0,0,0,1,0,452,5,17,474,326
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA MUBUKWANA,1114506 .,573,158,17,102,0,1,0,0,0,0,1,1,0,280,5,7,292,281
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA UNIDADE 29,1114201 .,800,262,18,171,2,0,0,1,0,0,0,0,0,454,3,28,485,315
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA UNIDADE 29,1114202 .,800,271,20,164,0,0,0,0,1,0,0,0,0,456,8,12,476,324
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA UNIDADE 29,1114203 .,800,253,19,176,1,2,0,0,0,0,1,2,0,454,5,19,478,322
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA UNIDADE 29,1114204 .,800,271,21,195,3,0,0,1,0,0,0,0,0,491,4,18,513,287
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA UNIDADE 29,1114205A .,400,128,9,81,1,0,0,0,0,0,0,0,0,219,2,6,227,173
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,GEORGE DIMITROV,ESCOLA PRIMÁRIA UNIDADE 29,1114205B .,600,180,20,123,1,1,0,0,0,0,0,0,0,325,2,5,332,268
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,INHAGOIA " A",COOPERATIVA ZED. MANGANHELA - RELENTO,1112901 .,800,269,18,175,0,0,0,1,1,0,1,0,0,465,12,36,513,287
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,INHAGOIA " A",COOPERATIVA ZED. MANGANHELA - RELENTO,1112902 .,800,206,24,191,2,1,0,0,1,0,1,0,0,426,5,15,446,354
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,INHAGOIA " A",COOPERATIVA ZED. MANGANHELA - RELENTO,1112903A .,400,139,15,98,0,0,0,0,0,0,1,1,1,255,5,1,261,139
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,INHAGOIA " A",COOPERATIVA ZED. MANGANHELA - RELENTO,1112903B .,621,163,20,130,1,2,0,0,0,0,0,0,0,316,3,6,325,296
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,INHAGOIA " A",ESCOLA PRIMÁRIA INHAGOÍA "A",1112801 .,800,312,14,153,1,0,1,1,1,0,1,1,0,485,3,23,511,289
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,INHAGOIA " A",ESCOLA PRIMÁRIA INHAGOÍA "A",1112802 .,800,247,20,159,0,0,0,0,0,1,0,0,1,428,12,16,456,344
